index,date
4333,20190320
4334,20190321
4335,20190322
4336,20190325
4337,20190326
4338,20190327
4339,20190328
4340,20190329
4341,20190401
4342,20190402
4343,20190403
4344,20190404
4345,20190405
4346,20190408
4347,20190409
4348,20190410
4349,20190411
4350,20190412
4351,20190415
4352,20190416
4353,20190417
4354,20190418
4355,20190419
4356,20190422
4357,20190423
4358,20190424
4359,20190425
4360,20190426
4361,20190429
4362,20190430
4363,20190501
4364,20190502
4365,20190503
4366,20190506
4367,20190507
4368,20190508
4369,20190509
4370,20190510
4371,20190513
4372,20190514
4373,20190515
4374,20190516
4375,20190517
4376,20190520
4377,20190521
4378,20190522
4379,20190523
4380,20190524
4381,20190527
4382,20190528
4383,20190529
4384,20190530
4385,20190531
4386,20190603
4387,20190604
4388,20190605
4389,20190606
4390,20190607
4391,20190610
4392,20190611
4393,20190612
4394,20190613
4395,20190614
4396,20190617
4397,20190618
4398,20190619
4399,20190620
4400,20190621
4401,20190624
4402,20190625
4403,20190626
4404,20190627
4405,20190628
4406,20190701
4407,20190702
4408,20190703
4409,20190704
4410,20190705
4411,20190708
4412,20190709
4413,20190710
4414,20190711
4415,20190712
4416,20190715
4417,20190716
4418,20190717
4419,20190718
4420,20190719
4421,20190722
4422,20190723
4423,20190724
4424,20190725
4425,20190726
4426,20190729
4427,20190730
4428,20190731
4429,20190801
4430,20190802
4431,20190805
4432,20190806
4433,20190807
4434,20190808
4435,20190809
4436,20190812
4437,20190813
4438,20190814
4439,20190815
4440,20190816
4441,20190819
4442,20190820
4443,20190821
4444,20190822
4445,20190823
4446,20190826
4447,20190827
4448,20190828
4449,20190829
4450,20190830
4451,20190902
4452,20190903
4453,20190904
4454,20190905
4455,20190906
4456,20190909
4457,20190910
4458,20190911
4459,20190912
4460,20190913
4461,20190916
4462,20190917
4463,20190918
4464,20190919
4465,20190920
4466,20190923
4467,20190924
4468,20190925
4469,20190926
4470,20190927
4471,20190930
4472,20191001
4473,20191002
4474,20191003
4475,20191004
4476,20191007
4477,20191008
4478,20191009
4479,20191010
4480,20191011
4481,20191014
4482,20191015
4483,20191016
4484,20191017
4485,20191018
4486,20191021
4487,20191022
4488,20191023
4489,20191024
4490,20191025
4491,20191028
4492,20191029
4493,20191030
4494,20191031
4495,20191101
4496,20191104
4497,20191105
4498,20191106
4499,20191107
4500,20191108
4501,20191111
4502,20191112
4503,20191113
4504,20191114
4505,20191115
4506,20191118
4507,20191119
4508,20191120
4509,20191121
4510,20191122
4511,20191125
4512,20191126
4513,20191127
4514,20191128
4515,20191129
4516,20191202
4517,20191203
4518,20191204
4519,20191205
4520,20191206
4521,20191209
4522,20191210
4523,20191211
4524,20191212
4525,20191213
4526,20191216
4527,20191217
4528,20191218
4529,20191219
4530,20191220
4531,20191223
4532,20191224
4533,20191225
4534,20191226
4535,20191227
4536,20191230
4537,20191231
4538,20200101
4539,20200102
4540,20200103
4541,20200106
4542,20200107
4543,20200108
4544,20200109
4545,20200110
4546,20200113
4547,20200114
4548,20200115
4549,20200116
4550,20200117
4551,20200120
4552,20200121
4553,20200122
4554,20200123
4555,20200124
4556,20200127
4557,20200128
4558,20200129
4559,20200130
4560,20200131
4561,20200201
4562,20200203
4563,20200204
4564,20200205
4565,20200206
4566,20200207
4567,20200210
4568,20200211
4569,20200212
4570,20200213
4571,20200214
4572,20200217
4573,20200218
4574,20200219
4575,20200220
4576,20200221
4577,20200224
4578,20200225
4579,20200226
4580,20200227
4581,20200228
4582,20200302
4583,20200303
4584,20200304
4585,20200305
4586,20200306
4587,20200309
4588,20200310
4589,20200311
4590,20200312
4591,20200313
4592,20200316
4593,20200317
4594,20200318
4595,20200319
4596,20200320
4597,20200323
4598,20200324
4599,20200325
4600,20200326
4601,20200327
4602,20200330
4603,20200331
4604,20200401
4605,20200402
4606,20200403
4607,20200406
4608,20200407
4609,20200408
4610,20200409
4611,20200410
4612,20200413
4613,20200414
4614,20200415
4615,20200416
4616,20200417
4617,20200420
4618,20200421
4619,20200422
4620,20200423
4621,20200424
4622,20200427
4623,20200428
4624,20200429
4625,20200430
4626,20200501
4627,20200504
4628,20200505
4629,20200506
4630,20200507
4631,20200508
4632,20200511
4633,20200512
4634,20200513
4635,20200514
4636,20200515
4637,20200518
4638,20200519
4639,20200520
4640,20200521
4641,20200522
4642,20200525
4643,20200526
4644,20200527
4645,20200528
4646,20200529
4647,20200601
4648,20200602
4649,20200603
4650,20200604
4651,20200605
4652,20200608
4653,20200609
4654,20200610
4655,20200611
4656,20200612
4657,20200615
4658,20200616
4659,20200617
4660,20200618
4661,20200619
4662,20200622
4663,20200623
4664,20200624
4665,20200625
4666,20200626
4667,20200629
4668,20200630
4669,20200701
4670,20200702
4671,20200703
4672,20200706
4673,20200707
